数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,美元
201601,101,阿富汗,11,北京市,56010
201601,101,阿富汗,12,天津市,117316
201601,101,阿富汗,13,河北省,1077332
201601,101,阿富汗,21,辽宁省,64000
201601,101,阿富汗,31,上海市,441817
201601,101,阿富汗,32,江苏省,2427792
201601,101,阿富汗,33,浙江省,9884328
201601,101,阿富汗,34,安徽省,274996
201601,101,阿富汗,35,福建省,202390
201601,101,阿富汗,36,江西省,122286
201601,101,阿富汗,37,山东省,4167918
201601,101,阿富汗,41,河南省,104400
201601,101,阿富汗,42,湖北省,392585
201601,101,阿富汗,43,湖南省,3137899
201601,101,阿富汗,44,广东省,3737159
201601,101,阿富汗,50,重庆市,554607
201601,101,阿富汗,51,四川省,72824
201601,101,阿富汗,52,贵州省,112350
201601,101,阿富汗,53,云南省,180
201601,101,阿富汗,61,陕西省,4200
201601,101,阿富汗,65,新疆维吾尔自治区,1757282
201601,102,巴林,11,北京市,622539
201601,102,巴林,12,天津市,1337257
201601,102,巴林,13,河北省,1614007
201601,102,巴林,14,山西省,160
201601,102,巴林,15,内蒙古自治区,140170
201601,102,巴林,21,辽宁省,455243
201601,102,巴林,23,黑龙江省,292965
201601,102,巴林,31,上海市,4254807
201601,102,巴林,32,江苏省,6925800
201601,102,巴林,33,浙江省,12990386
201601,102,巴林,34,安徽省,2286215
201601,102,巴林,35,福建省,5050238
201601,102,巴林,36,江西省,448410
201601,102,巴林,37,山东省,5248392
201601,102,巴林,41,河南省,2732188
201601,102,巴林,42,湖北省,239274
201601,102,巴林,43,湖南省,1002397
201601,102,巴林,44,广东省,17992426
201601,102,巴林,45,广西壮族自治区,37711
201601,102,巴林,46,海南省,17998
201601,102,巴林,50,重庆市,981128
201601,102,巴林,51,四川省,7224
201601,102,巴林,52,贵州省,459309
201601,102,巴林,53,云南省,64855
201601,102,巴林,61,陕西省,746626
201601,102,巴林,62,甘肃省,491004
201601,102,巴林,64,宁夏回族自治区,443664
201601,102,巴林,65,新疆维吾尔自治区,200573
201601,103,孟加拉国,11,北京市,58381556
201601,103,孟加拉国,12,天津市,20803970
201601,103,孟加拉国,13,河北省,59948188
201601,103,孟加拉国,14,山西省,8472060
201601,103,孟加拉国,15,内蒙古自治区,2613364
201601,103,孟加拉国,21,辽宁省,6652321
201601,103,孟加拉国,22,吉林省,1669377
201601,103,孟加拉国,23,黑龙江省,946727
201601,103,孟加拉国,31,上海市,99063749
201601,103,孟加拉国,32,江苏省,270760934
201601,103,孟加拉国,33,浙江省,211012626
201601,103,孟加拉国,34,安徽省,25886223
201601,103,孟加拉国,35,福建省,51606988
201601,103,孟加拉国,36,江西省,15795673
201601,103,孟加拉国,37,山东省,96955732
201601,103,孟加拉国,41,河南省,13776836
201601,103,孟加拉国,42,湖北省,17555063
201601,103,孟加拉国,43,湖南省,12071473
201601,103,孟加拉国,44,广东省,264465769
201601,103,孟加拉国,45,广西壮族自治区,2070087
201601,103,孟加拉国,46,海南省,283473
201601,103,孟加拉国,50,重庆市,14586177
201601,103,孟加拉国,51,四川省,7950766
201601,103,孟加拉国,52,贵州省,1700523
201601,103,孟加拉国,53,云南省,2177770
201601,103,孟加拉国,61,陕西省,5035853
201601,103,孟加拉国,62,甘肃省,4570059
201601,103,孟加拉国,64,宁夏回族自治区,309296
201601,103,孟加拉国,65,新疆维吾尔自治区,912391
201601,104,不丹,11,北京市,10321
201601,104,不丹,31,上海市,90111
201601,104,不丹,32,江苏省,50121
201601,104,不丹,33,浙江省,5632
201601,104,不丹,37,山东省,26831
