数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,美元
202411,101,阿富汗,11,北京市,"2,065,067"
202411,101,阿富汗,12,天津市,"8,304"
202411,101,阿富汗,13,河北省,"42,156"
202411,101,阿富汗,22,吉林省,"164,492"
202411,101,阿富汗,31,上海市,"2,854,345"
202411,101,阿富汗,33,浙江省,"8,871,705"
202411,101,阿富汗,34,安徽省,252
202411,101,阿富汗,37,山东省,"54,838"
202411,101,阿富汗,41,河南省,174
202411,101,阿富汗,43,湖南省,"81,325"
202411,101,阿富汗,44,广东省,"607,482"
202411,102,巴林,11,北京市,911
202411,102,巴林,12,天津市,"30,321"
202411,102,巴林,13,河北省,31
202411,102,巴林,31,上海市,"1,820,860"
202411,102,巴林,32,江苏省,"2,965,787"
202411,102,巴林,33,浙江省,"1,924,256"
202411,102,巴林,34,安徽省,373
202411,102,巴林,35,福建省,39
202411,102,巴林,37,山东省,"17,060"
202411,102,巴林,41,河南省,452
202411,102,巴林,44,广东省,"54,689"
202411,102,巴林,51,四川省,8
202411,103,孟加拉国,11,北京市,"1,424,877"
202411,103,孟加拉国,12,天津市,"766,499"
202411,103,孟加拉国,13,河北省,"2,296,517"
202411,103,孟加拉国,14,山西省,"12,677"
202411,103,孟加拉国,15,内蒙古自治区,30
202411,103,孟加拉国,21,辽宁省,"3,208,406"
202411,103,孟加拉国,22,吉林省,"52,213"
202411,103,孟加拉国,31,上海市,"34,903,065"
202411,103,孟加拉国,32,江苏省,"3,226,103"
202411,103,孟加拉国,33,浙江省,"14,801,159"
202411,103,孟加拉国,34,安徽省,"538,802"
202411,103,孟加拉国,35,福建省,"1,417,541"
202411,103,孟加拉国,36,江西省,"573,465"
202411,103,孟加拉国,37,山东省,"3,876,480"
202411,103,孟加拉国,41,河南省,"13,059,441"
202411,103,孟加拉国,42,湖北省,"684,852"
202411,103,孟加拉国,43,湖南省,"4,771,956"
202411,103,孟加拉国,44,广东省,"15,339,955"
202411,103,孟加拉国,45,广西壮族自治区,"1,345,481"
202411,103,孟加拉国,46,海南省,"175,116"
202411,103,孟加拉国,51,四川省,"4,911,988"
202411,103,孟加拉国,53,云南省,"1,202,054"
202411,103,孟加拉国,61,陕西省,"1,160"
202411,104,不丹,44,广东省,61
202411,105,文莱,11,北京市,159
202411,105,文莱,31,上海市,"45,633,805"
202411,105,文莱,32,江苏省,"5,488,592"
202411,105,文莱,33,浙江省,"124,730,867"
202411,105,文莱,34,安徽省,"50,703"
202411,105,文莱,41,河南省,"3,392"
202411,105,文莱,44,广东省,"3,012,549"
202411,105,文莱,45,广西壮族自治区,268
202411,105,文莱,51,四川省,20
202411,106,缅甸,11,北京市,"59,891,644"
202411,106,缅甸,12,天津市,"557,391"
202411,106,缅甸,13,河北省,"919,869"
202411,106,缅甸,21,辽宁省,"25,064"
202411,106,缅甸,23,黑龙江省,"394,636"
202411,106,缅甸,31,上海市,"27,359,169"
202411,106,缅甸,32,江苏省,"3,819,140"
202411,106,缅甸,33,浙江省,"9,538,606"
202411,106,缅甸,34,安徽省,"10,512,356"
202411,106,缅甸,35,福建省,"1,416,220"
202411,106,缅甸,36,江西省,"942,570"
202411,106,缅甸,37,山东省,"32,024,078"
202411,106,缅甸,41,河南省,"35,257,025"
202411,106,缅甸,42,湖北省,"1,402,485"
202411,106,缅甸,43,湖南省,"3,371,093"
202411,106,缅甸,44,广东省,"21,427,775"
202411,106,缅甸,45,广西壮族自治区,"2,399,837"
202411,106,缅甸,46,海南省,"4,863,963"
202411,106,缅甸,50,重庆市,"885,001"
202411,106,缅甸,51,四川省,"746,629"
202411,106,缅甸,52,贵州省,"14,734"
202411,106,缅甸,53,云南省,"317,185,758"
202411,106,缅甸,61,陕西省,348
202411,106,缅甸,62,甘肃省,596
202411,107,柬埔寨,11,北京市,"52,629,195"
