数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,美元
202405,101,阿富汗,11,北京市,"706,824"
202405,101,阿富汗,12,天津市,"225,754"
202405,101,阿富汗,13,河北省,"5,297,900"
202405,101,阿富汗,15,内蒙古自治区,"216,250"
202405,101,阿富汗,21,辽宁省,"4,773,896"
202405,101,阿富汗,22,吉林省,"37,200"
202405,101,阿富汗,31,上海市,"5,685,990"
202405,101,阿富汗,32,江苏省,"5,901,561"
202405,101,阿富汗,33,浙江省,"76,978,977"
202405,101,阿富汗,34,安徽省,"1,084,851"
202405,101,阿富汗,35,福建省,"376,537"
202405,101,阿富汗,36,江西省,"442,964"
202405,101,阿富汗,37,山东省,"10,402,293"
202405,101,阿富汗,41,河南省,"452,269"
202405,101,阿富汗,42,湖北省,"683,753"
202405,101,阿富汗,43,湖南省,"65,556"
202405,101,阿富汗,44,广东省,"11,379,792"
202405,101,阿富汗,45,广西壮族自治区,"397,654"
202405,101,阿富汗,50,重庆市,"582,754"
202405,101,阿富汗,51,四川省,"126,617"
202405,101,阿富汗,53,云南省,"18,716"
202405,101,阿富汗,61,陕西省,"1,408,169"
202405,101,阿富汗,65,新疆维吾尔自治区,"4,119,265"
202405,102,巴林,11,北京市,"752,272"
202405,102,巴林,12,天津市,"1,637,805"
202405,102,巴林,13,河北省,"12,503,726"
202405,102,巴林,14,山西省,"51,997"
202405,102,巴林,15,内蒙古自治区,"111,435"
202405,102,巴林,21,辽宁省,"1,072,710"
202405,102,巴林,22,吉林省,"481,247"
202405,102,巴林,23,黑龙江省,"352,470"
202405,102,巴林,31,上海市,"7,076,718"
202405,102,巴林,32,江苏省,"10,332,683"
202405,102,巴林,33,浙江省,"21,442,518"
202405,102,巴林,34,安徽省,"3,416,186"
202405,102,巴林,35,福建省,"2,022,262"
202405,102,巴林,36,江西省,"862,758"
202405,102,巴林,37,山东省,"17,136,974"
202405,102,巴林,41,河南省,"1,602,583"
202405,102,巴林,42,湖北省,"844,515"
202405,102,巴林,43,湖南省,"3,813,932"
202405,102,巴林,44,广东省,"30,844,506"
202405,102,巴林,45,广西壮族自治区,"854,142"
202405,102,巴林,46,海南省,"12,476"
202405,102,巴林,50,重庆市,"3,398,214"
202405,102,巴林,51,四川省,"352,955"
202405,102,巴林,61,陕西省,"344,615"
202405,102,巴林,64,宁夏回族自治区,"126,161"
202405,102,巴林,65,新疆维吾尔自治区,"1,640,955"
202405,103,孟加拉国,11,北京市,"215,904,233"
202405,103,孟加拉国,12,天津市,"18,057,710"
202405,103,孟加拉国,13,河北省,"29,141,937"
202405,103,孟加拉国,14,山西省,"5,599,835"
202405,103,孟加拉国,15,内蒙古自治区,"1,706,462"
202405,103,孟加拉国,21,辽宁省,"9,388,574"
202405,103,孟加拉国,22,吉林省,"2,572,833"
202405,103,孟加拉国,23,黑龙江省,"14,221,101"
202405,103,孟加拉国,31,上海市,"100,491,586"
202405,103,孟加拉国,32,江苏省,"430,956,701"
202405,103,孟加拉国,33,浙江省,"532,976,615"
202405,103,孟加拉国,34,安徽省,"21,055,535"
202405,103,孟加拉国,35,福建省,"101,127,661"
202405,103,孟加拉国,36,江西省,"12,568,789"
202405,103,孟加拉国,37,山东省,"136,480,348"
202405,103,孟加拉国,41,河南省,"9,622,098"
202405,103,孟加拉国,42,湖北省,"29,545,091"
202405,103,孟加拉国,43,湖南省,"37,258,447"
202405,103,孟加拉国,44,广东省,"392,826,144"
202405,103,孟加拉国,45,广西壮族自治区,"18,378,324"
202405,103,孟加拉国,46,海南省,"33,750,675"
202405,103,孟加拉国,50,重庆市,"23,874,111"
202405,103,孟加拉国,51,四川省,"14,960,904"
202405,103,孟加拉国,52,贵州省,"1,528,368"
202405,103,孟加拉国,53,云南省,"2,566,150"
202405,103,孟加拉国,54,西藏自治区,"25,320"
202405,103,孟加拉国,61,陕西省,"2,012,723"
202405,103,孟加拉国,62,甘肃省,"817,500"
202405,103,孟加拉国,63,青海省,"149,950"
202405,103,孟加拉国,64,宁夏回族自治区,"504,637"
202405,103,孟加拉国,65,新疆维吾尔自治区,"22,142,344"
202405,104,不丹,11,北京市,"12,582"
202405,104,不丹,13,河北省,5
202405,104,不丹,22,吉林省,49
202405,104,不丹,31,上海市,"27,061"
202405,104,不丹,32,江苏省,"272,524"
202405,104,不丹,33,浙江省,"95,058"
202405,104,不丹,34,安徽省,21
202405,104,不丹,35,福建省,"89,628"
202405,104,不丹,37,山东省,"178,035"
202405,104,不丹,41,河南省,21
202405,104,不丹,42,湖北省,"1,933"
202405,104,不丹,43,湖南省,10
202405,104,不丹,44,广东省,"2,067,373"
202405,104,不丹,51,四川省,5
202405,105,文莱,11,北京市,"86,516,715"
202405,105,文莱,12,天津市,"366,137"
202405,105,文莱,13,河北省,"1,305,118"
202405,105,文莱,14,山西省,"63,742"
202405,105,文莱,15,内蒙古自治区,"33,865"
202405,105,文莱,21,辽宁省,"137,058"
202405,105,文莱,31,上海市,"2,099,747"
202405,105,文莱,32,江苏省,"3,070,655"
202405,105,文莱,33,浙江省,"5,049,159"
202405,105,文莱,34,安徽省,"333,159"
202405,105,文莱,35,福建省,"1,592,406"
202405,105,文莱,36,江西省,"37,996"
202405,105,文莱,37,山东省,"5,717,750"
202405,105,文莱,41,河南省,"206,970"
202405,105,文莱,42,湖北省,"135,332"
202405,105,文莱,43,湖南省,"539,431"
202405,105,文莱,44,广东省,"11,586,977"
202405,105,文莱,45,广西壮族自治区,"1,374,432"
202405,105,文莱,46,海南省,"15,433"
202405,105,文莱,50,重庆市,"134,343"
202405,105,文莱,51,四川省,"734,025"
202405,105,文莱,53,云南省,"373,748"
202405,105,文莱,61,陕西省,"54,542"
202405,105,文莱,65,新疆维吾尔自治区,"1,316,531"
202405,106,缅甸,11,北京市,"35,616,896"
202405,106,缅甸,12,天津市,"5,837,054"
202405,106,缅甸,13,河北省,"3,169,100"
202405,106,缅甸,14,山西省,"146,507"
202405,106,缅甸,15,内蒙古自治区,"2,098,061"
202405,106,缅甸,21,辽宁省,"8,230,306"
202405,106,缅甸,22,吉林省,"1,192,283"
202405,106,缅甸,23,黑龙江省,"920,086"
202405,106,缅甸,31,上海市,"30,859,218"
202405,106,缅甸,32,江苏省,"136,167,568"
202405,106,缅甸,33,浙江省,"96,051,934"
202405,106,缅甸,34,安徽省,"20,173,444"
202405,106,缅甸,35,福建省,"30,377,839"
202405,106,缅甸,36,江西省,"13,776,403"
202405,106,缅甸,37,山东省,"52,276,898"
202405,106,缅甸,41,河南省,"3,939,334"
202405,106,缅甸,42,湖北省,"7,834,176"
202405,106,缅甸,43,湖南省,"2,478,814"
202405,106,缅甸,44,广东省,"237,919,325"
202405,106,缅甸,45,广西壮族自治区,"4,314,036"
202405,106,缅甸,46,海南省,"1,486,923"
202405,106,缅甸,50,重庆市,"18,639,625"
