数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,第一数量,第二数量,人民币
202111,101,阿富汗,11,北京市,18,8,18200
202111,101,阿富汗,12,天津市,136928,0,2419253
202111,101,阿富汗,21,辽宁省,0,1,1150
202111,101,阿富汗,22,吉林省,19850,0,1849592
202111,101,阿富汗,23,黑龙江省,55628,0,231660
202111,101,阿富汗,31,上海市,46,13,57213
202111,101,阿富汗,32,江苏省,1311,0,202490
202111,101,阿富汗,33,浙江省,940455,0,71625731
202111,101,阿富汗,35,福建省,208,184,299831
202111,101,阿富汗,37,山东省,133599,0,849024
202111,101,阿富汗,42,湖北省,6,0,12995
202111,101,阿富汗,44,广东省,282140,37,10283069
202111,101,阿富汗,51,四川省,2,5,1746
202111,101,阿富汗,61,陕西省,50520,0,3074926
202111,102,巴林,11,北京市,59,3,7005
202111,102,巴林,12,天津市,72182,0,1493364
202111,102,巴林,21,辽宁省,3,0,343
202111,102,巴林,31,上海市,2997764,1,47073687
202111,102,巴林,32,江苏省,1752809,0,35398249
202111,102,巴林,33,浙江省,2302995,0,44540169
202111,102,巴林,35,福建省,1507441,1,27380109
202111,102,巴林,37,山东省,286559,0,4122218
202111,102,巴林,41,河南省,15,0,1710
202111,102,巴林,44,广东省,11356329,69,206419188
202111,102,巴林,51,四川省,1600144,0,33114249
202111,103,孟加拉国,11,北京市,10043365,360142,103267730
202111,103,孟加拉国,12,天津市,22094,54,455231
202111,103,孟加拉国,13,河北省,3302096,1962,35745153
202111,103,孟加拉国,21,辽宁省,2202659,98842,16494241
202111,103,孟加拉国,23,黑龙江省,6,0,163
202111,103,孟加拉国,31,上海市,4506253,984267,146030165
202111,103,孟加拉国,32,江苏省,1792157,15223,16220371
202111,103,孟加拉国,33,浙江省,6177441,73236,70473887
202111,103,孟加拉国,34,安徽省,598424,63122,4456339
202111,103,孟加拉国,35,福建省,30451610,30188,142515856
202111,103,孟加拉国,36,江西省,238723,0,5033636
202111,103,孟加拉国,37,山东省,1232191,42122,14130184
202111,103,孟加拉国,41,河南省,700465,545,22774260
202111,103,孟加拉国,42,湖北省,750515,30559,4968777
202111,103,孟加拉国,43,湖南省,658940,1071,3930687
202111,103,孟加拉国,44,广东省,3719349,3975995,80128803
202111,103,孟加拉国,45,广西壮族自治区,289099,89,2195470
202111,103,孟加拉国,46,海南省,2315,1001,1604171
202111,103,孟加拉国,50,重庆市,850,850,421549
202111,103,孟加拉国,51,四川省,385414,210,3619793
202111,103,孟加拉国,53,云南省,6321,0,128487
202111,103,孟加拉国,61,陕西省,2666,1479,325235
202111,103,孟加拉国,65,新疆维吾尔自治区,19480,0,391892
202111,104,不丹,11,北京市,29,1,2349
202111,104,不丹,31,上海市,1,0,16
202111,104,不丹,44,广东省,5,3,441
202111,105,文莱,11,北京市,2,0,452
202111,105,文莱,13,河北省,3844559,0,22296470
202111,105,文莱,31,上海市,2591975,959466,13439671
202111,105,文莱,32,江苏省,17535793,0,112704830
202111,105,文莱,33,浙江省,92314313,1,564610291
202111,105,文莱,44,广东省,21303595,14,126700786
202111,105,文莱,46,海南省,38896566,0,228062432
202111,106,缅甸,11,北京市,36387100,13232,553395964
202111,106,缅甸,12,天津市,883169,2304,11352532
202111,106,缅甸,13,河北省,1433813,33600,19151116
202111,106,缅甸,21,辽宁省,1744417,12276,15416370
202111,106,缅甸,31,上海市,5203448,204426,66702477
202111,106,缅甸,32,江苏省,3107388,182088,38732477
202111,106,缅甸,33,浙江省,2718378,3867,32434730
202111,106,缅甸,34,安徽省,13114981,7000,116434995
202111,106,缅甸,35,福建省,5365915,11568,79526713
202111,106,缅甸,36,江西省,183392,115,30312559
202111,106,缅甸,37,山东省,18758084,21494,370708849
202111,106,缅甸,41,河南省,4102989,64,192167439
202111,106,缅甸,42,湖北省,57,16,17511
202111,106,缅甸,43,湖南省,2321060,1156,39648261
202111,106,缅甸,44,广东省,45236237,2773279,1712887897
202111,106,缅甸,45,广西壮族自治区,7074255,23764,34484283
202111,106,缅甸,46,海南省,9220,13176,330037
202111,106,缅甸,50,重庆市,7709226,28311,29910559
202111,106,缅甸,51,四川省,253996,7,1112010
202111,106,缅甸,53,云南省,496290454,0,1936448872
202111,106,缅甸,61,陕西省,564680,1,3398779
202111,106,缅甸,65,新疆维吾尔自治区,160029,0,3691028
202111,107,柬埔寨,11,北京市,35216244,162262,232114823
202111,107,柬埔寨,12,天津市,4372443,3084,18211220
202111,107,柬埔寨,13,河北省,256051,726456,145059850
202111,107,柬埔寨,15,内蒙古自治区,3569,738,861883
202111,107,柬埔寨,21,辽宁省,8003189,28959,37214700
202111,107,柬埔寨,22,吉林省,21,0,3505
202111,107,柬埔寨,23,黑龙江省,760896,8794,5055403
202111,107,柬埔寨,31,上海市,10552189,3791149,252570313
202111,107,柬埔寨,32,江苏省,5821635,262935,81781927
202111,107,柬埔寨,33,浙江省,5000928,416724,129541004
202111,107,柬埔寨,34,安徽省,662368,1284,2438334
202111,107,柬埔寨,35,福建省,36395067,17879,41918253
202111,107,柬埔寨,36,江西省,743758,1109616,5912981
202111,107,柬埔寨,37,山东省,6021997,329030,46419372
202111,107,柬埔寨,41,河南省,19032,2667,2298595
202111,107,柬埔寨,42,湖北省,649,370,356995
202111,107,柬埔寨,43,湖南省,22234,221,430468
202111,107,柬埔寨,44,广东省,9979453,7529636,113198268
202111,107,柬埔寨,45,广西壮族自治区,1768029,29832,11066514
202111,107,柬埔寨,46,海南省,2930,2688,5012266
202111,107,柬埔寨,50,重庆市,206462,35599,995510
202111,107,柬埔寨,51,四川省,282339,27232,14267390
202111,107,柬埔寨,61,陕西省,2744,10508,23022
202111,107,柬埔寨,65,新疆维吾尔自治区,1114878,0,726270
202111,108,塞浦路斯,11,北京市,484634,78658,2064339
202111,108,塞浦路斯,12,天津市,23556,10140,86158
202111,108,塞浦路斯,13,河北省,50,1,4908
202111,108,塞浦路斯,21,辽宁省,239656,38,932509
202111,108,塞浦路斯,23,黑龙江省,0,0,223
202111,108,塞浦路斯,31,上海市,429348,40777,1787484
202111,108,塞浦路斯,32,江苏省,2,130,17265
202111,108,塞浦路斯,33,浙江省,70772,28056,285089
202111,108,塞浦路斯,35,福建省,13,0,4700
202111,108,塞浦路斯,37,山东省,2153,646,285336
202111,108,塞浦路斯,41,河南省,16,2,202
202111,108,塞浦路斯,44,广东省,54907,15163,1643585
202111,108,塞浦路斯,45,广西壮族自治区,102,0,879808
202111,108,塞浦路斯,51,四川省,42,2,2129
202111,109,朝鲜,21,辽宁省,42295905,3761,40690564
202111,109,朝鲜,22,吉林省,4878720,0,1244074
202111,109,朝鲜,31,上海市,3,0,4145
202111,109,朝鲜,33,浙江省,0,0,51
202111,109,朝鲜,37,山东省,255,128,40843
202111,109,朝鲜,44,广东省,17,34,16845
202111,110,中国香港,11,北京市,9768793,1079190,354611692
202111,110,中国香港,12,天津市,1281825,482248,21058873
202111,110,中国香港,13,河北省,500531,440,6766026
202111,110,中国香港,15,内蒙古自治区,40,0,23538
202111,110,中国香港,21,辽宁省,279872,80907,18354332
202111,110,中国香港,22,吉林省,22048,7,100905
202111,110,中国香港,23,黑龙江省,150381,0,4112538
202111,110,中国香港,31,上海市,27416582,2926791,1031884114
202111,110,中国香港,32,江苏省,5117712,398011,105599012
202111,110,中国香港,33,浙江省,5257481,283183,186653896
202111,110,中国香港,34,安徽省,18885307,22712,38702664
202111,110,中国香港,35,福建省,1651271,70196,146743509
202111,110,中国香港,36,江西省,481718,10135,22832880
202111,110,中国香港,37,山东省,4518601,1580902,43183932
202111,110,中国香港,41,河南省,429029,5279,58746945
202111,110,中国香港,42,湖北省,559669,10743,13669877
202111,110,中国香港,43,湖南省,1594560,3,336724846
202111,110,中国香港,44,广东省,159468684,9166661,1856032818
202111,110,中国香港,45,广西壮族自治区,426545,52025,188463832
202111,110,中国香港,46,海南省,661267,9177,111472800
202111,110,中国香港,50,重庆市,3164,865,478460
202111,110,中国香港,51,四川省,14618683,51,16120810
202111,110,中国香港,52,贵州省,150000,1,36519
202111,110,中国香港,53,云南省,109061,0,23505947
