数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,人民币
202309,101,阿富汗,11,北京市,6547
202309,101,阿富汗,12,天津市,613133
202309,101,阿富汗,21,辽宁省,6317
202309,101,阿富汗,31,上海市,462634
202309,101,阿富汗,32,江苏省,101083
202309,101,阿富汗,33,浙江省,4507125
202309,101,阿富汗,37,山东省,2059908
202309,101,阿富汗,42,湖北省,9537
202309,101,阿富汗,44,广东省,464668
202309,101,阿富汗,51,四川省,3997
202309,101,阿富汗,62,甘肃省,94071
202309,102,巴林,11,北京市,311489524
202309,102,巴林,12,天津市,124418
202309,102,巴林,13,河北省,202
202309,102,巴林,31,上海市,6852321
202309,102,巴林,32,江苏省,173382
202309,102,巴林,33,浙江省,18101577
202309,102,巴林,34,安徽省,8610232
202309,102,巴林,36,江西省,633932
202309,102,巴林,41,河南省,38432113
202309,102,巴林,42,湖北省,74
202309,102,巴林,44,广东省,29429947
202309,102,巴林,51,四川省,2404
202309,103,孟加拉国,11,北京市,25627388
202309,103,孟加拉国,12,天津市,2252041
202309,103,孟加拉国,13,河北省,1880270
202309,103,孟加拉国,21,辽宁省,17391317
202309,103,孟加拉国,22,吉林省,149295
202309,103,孟加拉国,23,黑龙江省,1895
202309,103,孟加拉国,31,上海市,206409228
202309,103,孟加拉国,32,江苏省,55456275
202309,103,孟加拉国,33,浙江省,91421683
202309,103,孟加拉国,34,安徽省,3975276
202309,103,孟加拉国,35,福建省,5282846
202309,103,孟加拉国,36,江西省,3177611
202309,103,孟加拉国,37,山东省,15271817
202309,103,孟加拉国,41,河南省,41401615
202309,103,孟加拉国,42,湖北省,3931759
202309,103,孟加拉国,43,湖南省,22747517
202309,103,孟加拉国,44,广东省,91056485
202309,103,孟加拉国,45,广西壮族自治区,11667879
202309,103,孟加拉国,46,海南省,1392075
202309,103,孟加拉国,50,重庆市,36733
202309,103,孟加拉国,51,四川省,10277780
202309,103,孟加拉国,53,云南省,17853
202309,103,孟加拉国,63,青海省,214368
202309,104,不丹,35,福建省,440
202309,105,文莱,11,北京市,259988797
202309,105,文莱,31,上海市,143137545
202309,105,文莱,32,江苏省,11154399
202309,105,文莱,33,浙江省,299776878
202309,105,文莱,35,福建省,1504
202309,105,文莱,44,广东省,529832400
202309,106,缅甸,11,北京市,36665626
202309,106,缅甸,12,天津市,3909883
202309,106,缅甸,13,河北省,3441
202309,106,缅甸,21,辽宁省,6622448
202309,106,缅甸,23,黑龙江省,10118
202309,106,缅甸,31,上海市,89649321
202309,106,缅甸,32,江苏省,45701058
202309,106,缅甸,33,浙江省,48551436
202309,106,缅甸,34,安徽省,7273576
202309,106,缅甸,35,福建省,16482952
202309,106,缅甸,36,江西省,8902624
202309,106,缅甸,37,山东省,109590832
202309,106,缅甸,41,河南省,199406512
202309,106,缅甸,42,湖北省,1770678
202309,106,缅甸,43,湖南省,19966361
202309,106,缅甸,44,广东省,142590283
202309,106,缅甸,45,广西壮族自治区,14934487
202309,106,缅甸,46,海南省,15682936
202309,106,缅甸,50,重庆市,6344673
202309,106,缅甸,51,四川省,7161525
202309,106,缅甸,53,云南省,3005346568
202309,106,缅甸,61,陕西省,3041469
202309,106,缅甸,65,新疆维吾尔自治区,790857
202309,107,柬埔寨,11,北京市,231406330
202309,107,柬埔寨,12,天津市,25381923
202309,107,柬埔寨,13,河北省,89103088
202309,107,柬埔寨,14,山西省,362832
202309,107,柬埔寨,21,辽宁省,29976595
202309,107,柬埔寨,22,吉林省,3485272
202309,107,柬埔寨,23,黑龙江省,591899
202309,107,柬埔寨,31,上海市,191232223
202309,107,柬埔寨,32,江苏省,77597353
202309,107,柬埔寨,33,浙江省,148326445
202309,107,柬埔寨,34,安徽省,548665
202309,107,柬埔寨,35,福建省,90177228
202309,107,柬埔寨,36,江西省,39649258
202309,107,柬埔寨,37,山东省,38781180
202309,107,柬埔寨,41,河南省,13995889
202309,107,柬埔寨,42,湖北省,1488055
202309,107,柬埔寨,43,湖南省,22099930
202309,107,柬埔寨,44,广东省,124595375
202309,107,柬埔寨,45,广西壮族自治区,4312547
202309,107,柬埔寨,46,海南省,4328712
202309,107,柬埔寨,50,重庆市,3681563
202309,107,柬埔寨,51,四川省,4803075
202309,107,柬埔寨,53,云南省,27134903
202309,107,柬埔寨,61,陕西省,26866
202309,107,柬埔寨,65,新疆维吾尔自治区,1420650
202309,108,塞浦路斯,11,北京市,4622587
202309,108,塞浦路斯,12,天津市,2212731
202309,108,塞浦路斯,13,河北省,111
202309,108,塞浦路斯,21,辽宁省,32
202309,108,塞浦路斯,31,上海市,8477104
202309,108,塞浦路斯,32,江苏省,97935
202309,108,塞浦路斯,33,浙江省,2574871
202309,108,塞浦路斯,34,安徽省,504
202309,108,塞浦路斯,35,福建省,3431
202309,108,塞浦路斯,37,山东省,127193
202309,108,塞浦路斯,41,河南省,96
202309,108,塞浦路斯,42,湖北省,19
202309,108,塞浦路斯,43,湖南省,13452738
202309,108,塞浦路斯,44,广东省,976038
202309,108,塞浦路斯,51,四川省,6340
202309,109,朝鲜,11,北京市,1033467
202309,109,朝鲜,21,辽宁省,86806850
202309,109,朝鲜,22,吉林省,65142181
202309,109,朝鲜,31,上海市,339
202309,109,朝鲜,37,山东省,2481229
202309,109,朝鲜,41,河南省,11209433
202309,109,朝鲜,44,广东省,23664965
202309,109,朝鲜,51,四川省,9120911
202309,110,中国香港,11,北京市,3608545663
202309,110,中国香港,12,天津市,18167539
202309,110,中国香港,13,河北省,2576792
202309,110,中国香港,14,山西省,8947
202309,110,中国香港,21,辽宁省,147013652
202309,110,中国香港,22,吉林省,10938
202309,110,中国香港,23,黑龙江省,5378921
202309,110,中国香港,31,上海市,791475774
202309,110,中国香港,32,江苏省,299475614
202309,110,中国香港,33,浙江省,183969889
202309,110,中国香港,34,安徽省,19688641
202309,110,中国香港,35,福建省,491284878
202309,110,中国香港,36,江西省,44905986
202309,110,中国香港,37,山东省,36566927
202309,110,中国香港,41,河南省,16750424
202309,110,中国香港,42,湖北省,5446077
202309,110,中国香港,43,湖南省,526547473
202309,110,中国香港,44,广东省,2135243419
202309,110,中国香港,45,广西壮族自治区,1093140
202309,110,中国香港,46,海南省,180672640
202309,110,中国香港,50,重庆市,18272574
202309,110,中国香港,51,四川省,115403237
202309,110,中国香港,52,贵州省,2545627
202309,110,中国香港,53,云南省,56685207
202309,110,中国香港,54,西藏自治区,710364
202309,110,中国香港,61,陕西省,3543023
202309,110,中国香港,65,新疆维吾尔自治区,8814806
202309,111,印度,11,北京市,482079550
202309,111,印度,12,天津市,332424715
202309,111,印度,13,河北省,232957894
202309,111,印度,14,山西省,76443105
202309,111,印度,15,内蒙古自治区,2138995
202309,111,印度,21,辽宁省,147354165
202309,111,印度,22,吉林省,14005054
202309,111,印度,23,黑龙江省,1000253
202309,111,印度,31,上海市,1420883116
202309,111,印度,32,江苏省,1260453570
202309,111,印度,33,浙江省,1281686470
202309,111,印度,34,安徽省,293663577
202309,111,印度,35,福建省,1276450453
202309,111,印度,36,江西省,27510436
202309,111,印度,37,山东省,943077606
202309,111,印度,41,河南省,241519424
202309,111,印度,42,湖北省,128207720
202309,111,印度,43,湖南省,102366779
202309,111,印度,44,广东省,1417154286
202309,111,印度,45,广西壮族自治区,52144809
202309,111,印度,46,海南省,205946906
202309,111,印度,50,重庆市,113338578
202309,111,印度,51,四川省,64727691
202309,111,印度,52,贵州省,7485685
202309,111,印度,53,云南省,39302973
202309,111,印度,54,西藏自治区,1114572
202309,111,印度,61,陕西省,70190675
202309,111,印度,62,甘肃省,350932
202309,111,印度,63,青海省,3370847
202309,111,印度,64,宁夏回族自治区,139137
202309,111,印度,65,新疆维吾尔自治区,664514
202309,112,印度尼西亚,11,北京市,2271173744
202309,112,印度尼西亚,12,天津市,875148763
202309,112,印度尼西亚,13,河北省,263177140
202309,112,印度尼西亚,14,山西省,1441026983
202309,112,印度尼西亚,15,内蒙古自治区,95238188
202309,112,印度尼西亚,21,辽宁省,164850740
202309,112,印度尼西亚,22,吉林省,245118621
202309,112,印度尼西亚,23,黑龙江省,712959
202309,112,印度尼西亚,31,上海市,4454463388
202309,112,印度尼西亚,32,江苏省,4642491402
202309,112,印度尼西亚,33,浙江省,6894572130
202309,112,印度尼西亚,34,安徽省,398253645
202309,112,印度尼西亚,35,福建省,10661652661
202309,112,印度尼西亚,36,江西省,489155003
202309,112,印度尼西亚,37,山东省,2201222860
202309,112,印度尼西亚,41,河南省,297256477
202309,112,印度尼西亚,42,湖北省,603044999
202309,112,印度尼西亚,43,湖南省,496210317
202309,112,印度尼西亚,44,广东省,4720560113
202309,112,印度尼西亚,45,广西壮族自治区,572625229
202309,112,印度尼西亚,46,海南省,1110709879
202309,112,印度尼西亚,50,重庆市,307943580
202309,112,印度尼西亚,51,四川省,793546052
202309,112,印度尼西亚,52,贵州省,30096288
202309,112,印度尼西亚,53,云南省,182759269
202309,112,印度尼西亚,61,陕西省,93070885
202309,112,印度尼西亚,62,甘肃省,703062981
202309,112,印度尼西亚,64,宁夏回族自治区,448196
202309,112,印度尼西亚,65,新疆维吾尔自治区,446283237
202309,113,伊朗,11,北京市,225476289
202309,113,伊朗,12,天津市,87092492
202309,113,伊朗,13,河北省,163859
202309,113,伊朗,21,辽宁省,221635
202309,113,伊朗,31,上海市,447982785
202309,113,伊朗,32,江苏省,216659456
202309,113,伊朗,33,浙江省,673417850
202309,113,伊朗,34,安徽省,635158526
202309,113,伊朗,35,福建省,64297564
202309,113,伊朗,36,江西省,174926
202309,113,伊朗,37,山东省,162304435
202309,113,伊朗,41,河南省,1231865
202309,113,伊朗,42,湖北省,5015056
202309,113,伊朗,43,湖南省,6427
202309,113,伊朗,44,广东省,60637241
202309,113,伊朗,46,海南省,367446
202309,113,伊朗,51,四川省,43192
202309,113,伊朗,52,贵州省,3502516
202309,113,伊朗,63,青海省,1052704
202309,114,伊拉克,11,北京市,19047241650
202309,114,伊拉克,31,上海市,35368
202309,114,伊拉克,32,江苏省,1316901833
202309,114,伊拉克,33,浙江省,2399252700
202309,114,伊拉克,35,福建省,3694
202309,114,伊拉克,36,江西省,1972
202309,114,伊拉克,37,山东省,2103
202309,114,伊拉克,44,广东省,579705143
202309,114,伊拉克,46,海南省,67200
202309,115,以色列,11,北京市,531330563
202309,115,以色列,12,天津市,68605558
202309,115,以色列,13,河北省,600315
202309,115,以色列,14,山西省,3958
202309,115,以色列,21,辽宁省,9164671
202309,115,以色列,22,吉林省,11716976
202309,115,以色列,23,黑龙江省,65091
202309,115,以色列,31,上海市,500661210
202309,115,以色列,32,江苏省,358586462
202309,115,以色列,33,浙江省,106221259
202309,115,以色列,34,安徽省,175789799
202309,115,以色列,35,福建省,42861525
202309,115,以色列,36,江西省,17807026
202309,115,以色列,37,山东省,85418059
202309,115,以色列,41,河南省,17377319
202309,115,以色列,42,湖北省,73720082
202309,115,以色列,43,湖南省,21092025
202309,115,以色列,44,广东省,841260344
202309,115,以色列,45,广西壮族自治区,2297830
202309,115,以色列,46,海南省,3747296
202309,115,以色列,50,重庆市,355122788
202309,115,以色列,51,四川省,3081462568
202309,115,以色列,53,云南省,1501209
202309,115,以色列,61,陕西省,3524033
202309,115,以色列,64,宁夏回族自治区,2884335
202309,116,日本,11,北京市,9556513757
202309,116,日本,12,天津市,3831197219
202309,116,日本,13,河北省,368723078
202309,116,日本,14,山西省,164497949
202309,116,日本,15,内蒙古自治区,45926561
202309,116,日本,21,辽宁省,2540389892
202309,116,日本,22,吉林省,274818005
202309,116,日本,23,黑龙江省,166255809
202309,116,日本,31,上海市,21354634497
202309,116,日本,32,江苏省,16841306376
202309,116,日本,33,浙江省,7501144625
202309,116,日本,34,安徽省,3102485903
202309,116,日本,35,福建省,3144252179
202309,116,日本,36,江西省,564634290
202309,116,日本,37,山东省,4453795224
202309,116,日本,41,河南省,976196350
202309,116,日本,42,湖北省,1826288645
202309,116,日本,43,湖南省,648236941
202309,116,日本,44,广东省,20790832047
202309,116,日本,45,广西壮族自治区,187068372
202309,116,日本,46,海南省,760379439
202309,116,日本,50,重庆市,622718502
202309,116,日本,51,四川省,1392137169
202309,116,日本,52,贵州省,14310631
202309,116,日本,53,云南省,24485720
202309,116,日本,54,西藏自治区,338346
202309,116,日本,61,陕西省,1180579758
202309,116,日本,62,甘肃省,32803669
202309,116,日本,63,青海省,41898
202309,116,日本,64,宁夏回族自治区,34402021
202309,116,日本,65,新疆维吾尔自治区,212599487
202309,117,约旦,11,北京市,126325070
202309,117,约旦,12,天津市,676
202309,117,约旦,21,辽宁省,844
202309,117,约旦,23,黑龙江省,16302
202309,117,约旦,31,上海市,88035295
202309,117,约旦,32,江苏省,22673402
202309,117,约旦,33,浙江省,29837781
202309,117,约旦,34,安徽省,6954082
202309,117,约旦,35,福建省,4308487
202309,117,约旦,37,山东省,9396542
202309,117,约旦,41,河南省,716980
202309,117,约旦,42,湖北省,18315850
202309,117,约旦,44,广东省,18797605
202309,117,约旦,45,广西壮族自治区,1211
202309,117,约旦,46,海南省,3015
202309,117,约旦,50,重庆市,11191
202309,117,约旦,51,四川省,49911
202309,117,约旦,61,陕西省,633477
202309,118,科威特,11,北京市,6060746972
202309,118,科威特,12,天津市,811633
202309,118,科威特,13,河北省,4130751
202309,118,科威特,21,辽宁省,11968
202309,118,科威特,23,黑龙江省,3217054
202309,118,科威特,31,上海市,3914812
202309,118,科威特,32,江苏省,45691318
202309,118,科威特,33,浙江省,417290922
202309,118,科威特,34,安徽省,181
202309,118,科威特,35,福建省,37815038
202309,118,科威特,37,山东省,54358512
202309,118,科威特,41,河南省,1287
202309,118,科威特,42,湖北省,20221826
202309,118,科威特,44,广东省,144244575
202309,118,科威特,45,广西壮族自治区,641581671
202309,118,科威特,46,海南省,73951827
202309,118,科威特,50,重庆市,560
202309,118,科威特,51,四川省,1701
202309,118,科威特,53,云南省,726746930
202309,119,老挝,11,北京市,322270368
202309,119,老挝,12,天津市,33227205
202309,119,老挝,21,辽宁省,12535769
202309,119,老挝,22,吉林省,28861
202309,119,老挝,31,上海市,120001205
202309,119,老挝,32,江苏省,10471392
202309,119,老挝,33,浙江省,39526974
202309,119,老挝,34,安徽省,687
